PressureLoad DefVol Bacteria Yeast pH TTA Restaurant
"1" 130.025682977321 35.5275570957798 5.7579716137935 6.54289237256177 6.09723366291865 1.11108389094608 1
"2" 123.868507061207 40.3456673359997 6.03498640463295 6.31769055291266 6.06342693274166 1.13809306945221 1
"3" 115.465972380016 26.5875193746721 5.41026857133811 6.66872566010638 5.78421159076303 1.19913412279880 1
"4" 127.5899236899 41.1911762285139 5.8701457278792 6.53459847787062 6.14832270273416 0.986528525288358 1
"5" 132.266467469268 45.7407044439089 5.70926074263912 6.83855789397601 5.83707336337997 1.61943958521013 1
"6" 122.159123112422 56.4088964045543 7.31816497394097 6.3822125212407 5.8659911923775 1.26755469495877 2
"7" 120.195858447923 33.6688462499008 5.46763789311855 6.4362336104911 5.81115530447089 1.31823780701964 2
"8" 126.890507491187 46.7331263857822 7.78413676386543 7.38051138310568 5.74320271588896 1.53929760132259 2
"9" 115.518028717572 35.7807006566966 6.23571738287042 7.30662411540274 5.51119290749246 1.49047908241957 2
"10" 113.865563544326 50.2314608387294 7.92831238326924 7.50389590596437 5.71886786562304 1.34434323054349 2
"11" 103.650075757754 28.9510717044362 4.73219194754548 6.9902092209962 5.52890764793454 1.60714628988073 3
"12" 108.797179593098 35.0479630081727 8.94571262167516 7.22185013326718 5.72854646330223 1.42619392074337 3
"13" 115.149249518185 46.6875302245832 6.09636926271227 7.93540630679964 5.67179763935294 1.62824526150116 3
"14" 106.215423930075 34.8787028849582 6.18445130933664 7.34656116893604 5.524666557773 1.48033534535251 3
"15" 109.430334355071 44.4301674895287 5.29379646060138 7.10883564227663 5.8544076416165 1.54133209911462 3
"16" 113.286059429904 37.5806197156941 5.59998762667925 5.43405536067635 5.91805203471671 1.20920897444152 4
"17" 114.272667391312 31.2968139104789 5.27180600703723 6.4406850296745 5.99818617448839 0.894826991009238 4
"18" 112.452570464775 30.0954179673037 6.41079373856602 6.07108702657132 5.84082323193762 0.886080940313786 4
"19" 132.138554986492 53.1568902583459 7.2569381980415 6.43679025624688 5.9048849389301 1.30147320839339 4
"20" 125.520174285599 52.5636327659971 7.02252586560774 5.90730440784438 5.99181942710434 1.17204962041814 4
"21" 97.0512639263229 22.0952391864182 7.1415608123352 6.14756204699344 6.07578691571233 1.19392642811583 5
"22" 94.3446895321262 40.0371930949757 4.62378461741048 7.83058630589429 6.15374032337186 1.05559251593763 5
"23" 107.194487569066 34.8886191870801 6.69116044848417 7.3664514943675 6.10468330458429 1.21188869435322 5
"24" 102.574824477933 46.0738167889733 8.08510560654347 7.75583328883084 6.09237404558775 1.31945963996596 5
"25" 93.0711757748878 37.9575617637853 6.06364927300438 6.87442048954767 6.20474452305797 0.939812633620206 5
"26" 111.323526741493 36.6796946628528 5.23856998925585 6.92105403263302 6.07519484298392 1.18704842158202 6
"27" 96.5876470656116 36.6439668623192 6.34132025409295 7.4440283696642 5.85841408738514 1.28551141095282 6
"28" 105.08312065562 44.8789876431857 5.95178276884365 7.10994257034376 6.00919818651879 1.25423993203850 6
"29" 103.230408138629 47.0721114835065 6.54581382193853 7.40199338075457 5.84752559328346 1.29248995423443 6
"30" 106.805672115600 26.1380056335128 6.50437006631761 6.443620418106 6.07596043450601 1.28300621630979 6
